date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:13	11301/11301	---M--	200	added ('OK')	application/x-javascript	etag:%223e451c1b21abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-shortcodes/js/ut.scplugin.js?ver=1.0	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-shortcodes/js/ut.scplugin5152.js	(from http://blackhalo.info/)
00:02:14	2634/2634	---M--	200	added ('OK')	application/x-javascript	etag:%22acf967f921abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/toucheffects.min.js?ver=1.0	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/toucheffects.min5152.js	(from http://blackhalo.info/)
00:02:14	3524/3524	---M--	200	added ('OK')	application/x-javascript	etag:%22e3eaabf821abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/jquery.easing.min.js?ver=1.3	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/jquery.easing.min4e44.js	(from http://blackhalo.info/)
00:02:14	4086/4086	---M--	200	added ('OK')	application/x-javascript	etag:%22a9125cf921abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/superfish.min.js?ver=1.7.4	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/superfish.minb34d.js	(from http://blackhalo.info/)
00:02:14	3002/3002	---M--	200	added ('OK')	application/x-javascript	etag:%2271749f921abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/retina.min.js?ver=1.1	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/retina.min4963.js	(from http://blackhalo.info/)
00:02:15	49178/49178	---M--	200	added ('OK')	application/x-javascript	etag:%2259cfe9f821abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/jquery.mb.YTPlayer.min.js?ver=1.0	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/jquery.mb.YTPlayer.min5152.js	(from http://blackhalo.info/)
00:02:16	522/522	---M--	200	added ('OK')	application/x-javascript	etag:%224e4d89f921abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/ut-videoplayer.js?ver=1.0	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/ut-videoplayer5152.js	(from http://blackhalo.info/)
00:02:16	609/609	---M--	200	added ('OK')	application/x-javascript	etag:%2224abe2f821abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/jquery.parallax.min.js?ver=1.1.3	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/jquery.parallax.minc358.js	(from http://blackhalo.info/)
00:02:17	8051/8051	---M--	200	added ('OK')	application/x-javascript	etag:%22fe917f921abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/jquery.waypoints.min.js?ver=2.0.2	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/jquery.waypoints.min4c56.js	(from http://blackhalo.info/)
00:02:17	8181/8181	---M--	200	added ('OK')	application/x-javascript	etag:%22e447bf921abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/js/ut-init.js?ver=2.8.6	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/js/ut-initd2b8.js	(from http://blackhalo.info/)
00:02:18	2082/2082	---M--	200	added ('OK')	application/octet-stream	etag:%221e4713722abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.eot	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.eot	(from http://blackhalo.info/wp-content/themes/brooklyn/css/flexslider.css?ver=4.2.14)
00:02:18	2082/2082	---M--	200	added ('OK')	application/octet-stream	etag:%221e4713722abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.eot?	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icond41d.eot	(from http://blackhalo.info/wp-content/themes/brooklyn/css/flexslider.css?ver=4.2.14)
00:02:19	1549/1549	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Apr%202017%2007:02:39%20GMT	http://blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.woff	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.35.delayed	(from http://blackhalo.info/wp-content/themes/brooklyn/css/flexslider.css?ver=4.2.14)
00:02:19	1892/1892	---M--	200	added ('OK')	application/octet-stream	etag:%2224152b722abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.ttf	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.ttf	(from http://blackhalo.info/wp-content/themes/brooklyn/css/flexslider.css?ver=4.2.14)
00:02:19	2334/2334	---M--	200	added ('OK')	application/octet-stream	etag:%22bdb328722abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.svg	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/css/fonts/flexslider-icon.svg	(from http://blackhalo.info/wp-content/themes/brooklyn/css/flexslider.css?ver=4.2.14)
00:02:20	555/555	---M--	200	added ('OK')	image/png	etag:%22fea2b5f621abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/images/dark-arrows.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/images/dark-arrows.png	(from http://blackhalo.info/wp-content/themes/brooklyn/css/ut.portfolio.style.css?ver=4.2.14)
00:02:20	1661/1661	---M--	200	added ('OK')	image/png	etag:%2245314f721abd01:0%22	http://blackhalo.info/wp-content/themes/brooklyn/images/light-arrows.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/themes/brooklyn/images/light-arrows.png	(from http://blackhalo.info/wp-content/themes/brooklyn/css/ut.portfolio.style.css?ver=4.2.14)
00:02:22	6682/6682	---M--	200	added ('OK')	image/png	etag:%22f2ca79821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite.png	(from http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhoto.css?ver=4.2.14)
00:02:22	29480/29480	---MC-	200	added ('OK')	text/javascript	date:Tue,%2011%20Apr%202017%2000:18:06%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/BlackHalo/www.google-analytics.com/analytics.js	(from http://blackhalo.info/)
00:02:22	1097/1097	---M--	200	added ('OK')	image/png	etag:%2227ef80821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_x.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_x.png	(from http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhoto.css?ver=4.2.14)
00:02:22	1162/1162	---M--	200	added ('OK')	image/png	etag:%2227ef80821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_y.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_y.png	(from http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhoto.css?ver=4.2.14)
00:02:23	1358/1358	---M--	200	added ('OK')	image/png	etag:%22592c7c821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_next.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_next.png	(from http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhoto.css?ver=4.2.14)
00:02:23	1376/1376	---M--	200	added ('OK')	image/png	etag:%22c08d7e821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_prev.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/sprite_prev.png	(from http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhoto.css?ver=4.2.14)
00:02:23	1537/1537	---M--	200	added ('OK')	image/png	etag:%228b6977821abd01:0%22	http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/default_thumb.png	C:/My%20Web%20Sites/BlackHalo/blackhalo.info/wp-content/plugins/ut-portfolio/assets/images/prettyPhoto/default/default_thumb.png	(from http://blackhalo.info/wp-content/plugins/ut-portfolio/assets/css/plugins/prettyphoto/prettyPhoto.css?ver=4.2.14)
